Key,English,German
QUEST_DESTINATION_0085,Kill 8 Iblis Crashers in the Iblis Temple.,Besiege 8 Ivillis Crasher im Ivillis Tempel.
QUEST_DESTINATION_0086,Kill an Iblis Guardian in the Iblis Temple.,Besiege 4 Ivillis Guarder im Ivillis Tempel.
QUEST_DESTINATION_0087,Obtain the Pattern by Killing an Iblis Guardian.,"Erhalte das Pattern, indem du einen Ivillis Guarder tötest."
QUEST_DESTINATION_0091,Please purchase a Long Sword from [Shield] Luda.,Kaufe ein Long Sword beim NPC Luda.
QUEST_DESTINATION_0093,"After speaking with Drian, obtain a pouch.",Sprich mit Drian und finde anschließend den Beutel.
QUEST_DESTINATION_0094,A group of Organigor exists nearby.,Eine Gruppe von Organigor befindet sich in der Nähe.
QUEST_DESTINATION_0095,A group of Gangard exists nearby.,Eine Gruppe von Gangard befindet sich in der Nähe.
QUEST_DESTINATION_0096,A group of Hadeseor exists nearby.,Eine Gruppe von Hadeseor befindet sich in der Nähe.
QUEST_DESTINATION_1000,Radion gave you this Fragment of Memories.,Radion hat dir dieses Fragment of Memories gegeben.
QUEST_DESTINATION_1001,Reodos gave you this Elemental Hero's Pendant.,Reodos hat dir dieses Elemental Hero's Pendant gegeben.
QUEST_DESTINATION_1002,Zoro gave you this letter.,Zoro hat dir diesen Brief gegeben.
QUEST_DESTINATION_1003,Bring this Letter to Zoro.,Bring diesen Brief zu Zoro.
QUEST_DESTINATION_1004,You got this Promise Ring from the Garbagespiders.,Du hast diesen Promise Ring von den Garbagespider erhalten.
QUEST_DESTINATION_1005,Bring this Letter to Dior.,Bring diesen Brief zu Dior.
QUEST_DESTINATION_1006,Bring this Hero's Pendant to Reonan.,Bring diesen Anhänger des Helden zu Reonan.
QUEST_DESTINATION_1007,You got this Hero's Pendant from the Bearnerkys.,Du hast dieses Hero's Pendant von den Bearnerky bekommen.
QUEST_DESTINATION_1008,Bring this Agony Ore to Ainher.,Bringt dieses Agony Ore zu Ainher.
QUEST_DESTINATION_1009,Symbols of Shade drop from Violet masquerpets with a level close to yours.,Symbole des Schattens fallen von Violet Masquerpets mit einem ähnlichen Level wie deines.
QUEST_DESTINATION_1010,Collect Erons from Erons Catchers.,Sammle Erons von  Erons Catchers.
QUEST_DESTINATION_1011,Collect Krasec from Krasec Catchers.,Sammle Krasec von Krasec Catchers.
QUEST_DESTINATION_1012,Collect Mineral from Mineral Catchers.,Sammle Mineralien von Mineral Catchers.
QUEST_DESTINATION_1013,Collect Guru from Guru Catchers.,Sammle Guru von Guru Catchers.
QUEST_DESTINATION_1014,Give the Smelted Steels to Chenbing.,Gebe Chenbing den geschmolzenen Stahl.
QUEST_DESTINATION_1015,Give the Metallurgical Bull Ring to Colack.,Gebe Colack den Metallurgischen Stierring.
QUEST_DESTINATION_1016,Give the Supercharged Lightning Rod to Gothante.,Gebe Gothante den extrem aufgeladenen Blitzableiter.
QUEST_DESTINATION_1017,Collect $QUEST_END_ITEM_NAME$ from final dungeon bosses.,Sammle $QUEST_END_ITEM_NAME$ von den Endbossen des Dungeons.
QUEST_DESTINATION_1018,Give the Elixir of Cleansing to Hael.,Gib das Elixier der Reinigung an Hael.
QUEST_DESTINATION_1019,Collect Ultima from giants and treasure chests.,Sammle Ultima von Riesen und Schatztruhen.
QUEST_DESTINATION_1020,Kill %s Prismatic Cobras and Water Totem Pole,Töte %s Prismakobras und Totempfahl des Wassers
QUEST_DESTINATION_1021,Kill %s Twinstrike Cobras and Wind Totem Pole,Töte %s Doppelstreifenkobras und Totempfahl des Windes
QUEST_DESTINATION_1022,Kill %s Tanuki Enforcers and Earth Totem Pole,Töte %s Tanuki-Vollstreckers und Totempfahl der Erde
QUEST_DESTINATION_1023,Kill %s Wildwood Stalkers and Fire Totem Pole,Töte %s Wildholz-Pirscher und Totempfahl des Feuers 
QUEST_DESTINATION_1024,"Kill Kriton, the Shade's right hand living deep inside Herneos.","Tötet Kriton, die rechte Hand von Shade, die tief in Herneos lebt."
QUEST_DESTINATION_1025,Kill 150 Dreadfins in the Herneos Dungeon.,Töte 150 Dreadfins im Herneos Dungeon.
QUEST_DESTINATION_1026,Kill 150 Dreadscales in the Herneos Dungeon.,Töte 150 Dreadscales im Herneos Dungeon.
QUEST_DESTINATION_1027,Kill 150 Luminfins in the Herneos Dungeon.,Töte 150 Luminfins im Herneos Dungeon.
QUEST_DESTINATION_1028,Obtained by talking to Dr. Estly.,Erhalten durch Gespräch mit Dr. Estly.
QUEST_DESTINATION_1029,Obtained by killing Dreadfins in the Herneos Dungeon.,Erhalten durch das Töten von Dreadfins im Herneos Dungeon.
QUEST_DESTINATION_1030,Obtained by killing Dreadscales in the Herneos Dungeon.,Erhalten durch das Töten von Dreadscales im Herneos Dungeon.
QUEST_DESTINATION_1031,Obtained by killing Luminfins in the Herneos Dungeon.,Erhalten durch das Töten von Luminfins im Herneos Dungeon.
QUEST_DESTINATION_1032,"Kill [Depths Guardian] Bunyip, the Shade's General living deep inside Herneos.","Töte [Depths Guardian] Bunyip, der General von Shade, der tief in Herneos lebt."
QUEST_DESTINATION_1033,"Kill [Depths Queen] Nereid, the Shade's General living deep inside Herneos.","Töte [Depths Queen] Nereid, der General von Shade, der tief in Herneos lebt."
QUEST_DESTINATION_1034,The lost treasure of Herneos should be easy to find inside Herneos.,Der verlorene Schatz von Herneos sollte innerhalb von Herneos leicht zu finden sein.
QUEST_DESTINATION_1035,You should be able to find one by exploring the Herneos dungeon.,"Du solltest einen finden, indem du den Dungeon Herneos erkundest."
QUEST_DESTINATION_1036,Bring it to Gergantes.,Bringe es zu Gergantes.
QUEST_DESTINATION_1037,Kill %s more [Twisted Soul] Orcus to spawn an hidden chest,Töte noch %s [Twisted Soul] Orcus um eine versteckte Truhe erscheinen zu lassen.
QUEST_DESTINATION_1038,Kill %s more [Tormented Soul] Nergal to spawn the Mysterious Adventurer,Töte noch %s [Tormented Soul] Nergal um den Mysterious Adventurer herbei zu rufen.
QUEST_DESTINATION_1039,Kill %s more [Demonic Soul] Hel to spawn an hidden chests,Töte noch %s [Demonic Soul] Hel um eine versteckte Truhe erscheinen zu lassen.
QUEST_DESTINATION_1040,Kill %s more [Perverted Soul] Morrigan to spawn the Mysterious Adventurer,Kill %s more [Perverted Soul] Morrigan um den Mysterious Adventurer herbei zu rufen.
QUEST_DESTINATION_1041,Kill %s more [Anguished Soul] Mara to spawn an hidden chest,Töte noch %s [Anguished Soul] Mara um eine versteckte Truhe erscheinen zu lassen.
QUEST_DESTINATION_1042,Kill %s more [Violent Soul] Ghed to spawn an hidden chest,Töte noch %s [Violent Soul] Ghed um eine versteckte Truhe erscheinen zu lassen.
QUEST_DESTINATION_1043,Defeat %s Dungeon Final Boss,Besiege %s Dungeon Endboss
QUEST_DESTINATION_1044,You received Master's letter of introduction from the previous quest.,Du hast aus der vorherigen Quest den Einführungbrief des Meisters erhalten.
QUEST_DESTINATION_1045,You received Fragment of a Fallen Ship from the Mayor of Flarine.,Du hast das Fragment eines gefallenen Schiffs vom Bürgermeister von Flarine erhalten.
QUEST_DESTINATION_1046,You received Translated Lycan Operation Plan from [Captain] Baron.,Du hast den übersetzten Lykan-Operationsplan von [Captain] Baron erhalten.
QUEST_DESTINATION_1047,You received All about Muran! from [Elder] Melak.,Du hast Alles über Muran! von [Elder] Melak erhalten.
QUEST_DESTINATION_1048,You collected Lycan Orders during the previous quest.,Du hast während der vorherigen Quest Lycan Orders gesammelt.
QUEST_DESTINATION_1049,You collected Torn Scroll during the previous quest.,Du hast während der vorherigen Quest die Torn Scroll gesammelt.
