Key,English,Traditional_Chinese
MMI_1079,Teleport,Teleport
MMI_1080,Sea Shell Upgrading,Sea Shell Upgrading
MMI_1081,Fuse Rainbow Jewel,Fuse Rainbow Jewel
MMI_1082,Dismantle Rainbow Jewel,Dismantle Rainbow Jewel
MMI_1083,Pet Training,Pet Training
MMI_1084,Teleport,Teleport
MMI_1085,Individual Race (Item),Individual Race (Item)
MMI_1086,Individual Race (Speed),Individual Race (Speed)
MMI_1087,Duo Team Race (Item),Duo Team Race (Item)
MMI_1088,Duo Team Race (Speed),Duo Team Race (Speed)
MMI_1089,Sit,Sit
MMI_1090,Sleep,Sleep
MMI_1091,Yellow Chip Shop,Yellow Chip Shop
MMI_1092,Madrigal Tournament Registration,Madrigal Tournament Registration
MMI_1093,Enter Madrigal Tournament,Enter Madrigal Tournament
MMI_1094,Madrigal Tournament Ranking,Madrigal Tournament Ranking
MMI_1095,Madrigal Tournament Reward,Madrigal Tournament Reward
MMI_1096,Madrigal Tournament Bidding,Madrigal Tournament Bidding
MMI_1097,Remove Ultimate Jewel,Remove Ultimate Jewel
MMI_1098,Customize,Customize
MMI_1099,Enter Couple House,Enter Couple House
MMI_1100,Select Couple House Template,Select Couple House Template
MMI_1101,Wandering Shop,Wandering Shop
MMI_1102,Master Chip Shop - Alchemy,Master Chip Shop - Alchemy
MMI_1103,Product Upgrade,Product Upgrade
MMI_1104,Life Mastery Ranking,Life Mastery Ranking
MMI_1105,Life Mastery Ranking Reward,Life Mastery Ranking Reward
MMI_1106,Alchemy,Alchemy
MMI_1107,Cooking,Cooking
MMI_1108,Carpentry,Carpentry
MMI_1109,Smithing,Smithing
MMI_1110,Enter Race,Enter Race
MMI_1111,Master Chip Shop - Cooking,Master Chip Shop - Cooking
MMI_1112,Master Chip Shop - Carpentry,Master Chip Shop - Carpentry
MMI_1113,Master Chip Shop - Smithing,Master Chip Shop - Smithing
MMI_1115,Join Boss Raid,Join Boss Raid
MMI_1120,3rd Anniversary Egg Upgrade Event,3rd Anniversary Egg Upgrade Event
MMI_1121,Champion Coin Exchange,Champion Coin Exchange
MMI_1116,Synthesize Ultimate Jewel,Synthesize Ultimate Jewel
MMI_1117,Convert Ultimate Jewel,Convert Ultimate Jewel
MMI_2025,PTS Exchange (Equipment),PTS Exchange (Equipment)
MMI_2026,Give Feedback,Give Feedback
MMI_2027,PTS Exchange (Materials),PTS Exchange (Materials)
MMI_2028,PTS Exchange (Essentials),PTS Exchange (Essentials)
MMI_2029,PTS Exchange (Jewelry),PTS Exchange (Jewelry)
MMI_2030,PTS Exchange (Other Equipment),PTS Exchange (Other Equipment)
MMI_2031,Reset Cooldowns,Reset Cooldowns
MMI_2032,PTS Exchange (New Equipment),PTS Exchange (New Equipment)
